Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.00mm,2,10 uF,
"C10, C12, C14, C5, C6, C7, C8, C9",CP_Radial_D8.0mm_P3.50mm,8,100 uf/25V,
C11,CP_Radial_D5.0mm_P2.00mm,1,10 uf/50V,
C13,0805,1,"0,1uF",
"C3, C4",0805,2,10 pF,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Audio In,
J15,PinHeader_1x03_P2.54mm_Vertical,1,Buffer Power,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Audio Out,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Digital In,
"Q1, Q2, Q3, Q4",TO-92_HandSolder,4,2SK170,
"R1, R2",0805,2,100K,
"R10, R11, R5, R7",0805,4,220,
"R12, R13",0805,2,1M,
"R3, R4",0805,2,47,
R6,0805,1,10,
"R8, R9",0805,2,220K,
"U1, U2",DIP-8_W7.62mm_Socket_LongPads,2,NE5534,
U3,TSSOP-32_6.1x11mm_P0.65mm,1,Muses_72323,
