Designator,Footprint,Quantity,Value,LCSC Part #
12V TR1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V trigger 1,
12V TR2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V trigger 2,
C1,0805,1,0.1uF,
IC1,SOIC127P1030X265-20N,1,ULN2803CDWR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,To preamp,
J2,PinHeader_1x03_P2.54mm_Vertical,1,From preamp,
J3,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Digital In,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Digital Pass Through,
J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Power In,
J6,PinHeader_1x05_P2.54mm_Vertical,1,Power Out,
J7,PinHeader_1x10_P2.54mm_Vertical,1,ADS1115,
K1,DIPS762W60P254L1420H630Q10N,1,Input 1,
K2,DIPS762W60P254L1420H630Q10N,1,Input 2,
K3,DIPS762W60P254L1420H630Q10N,1,Input 3,
K4,DIPS762W60P254L1420H630Q10N,1,Input 4,
K5,DIPS762W60P254L1420H630Q10N,1,Output Mute,
K6,DIPS762W60P254L1420H630Q10N,1,Trigger 1,
K7,DIPS762W60P254L1420H630Q10N,1,Trigger 2,
NTC1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Analog measurement 1,
NTC2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Analog measurement 2,
"R3, R4",0805,2,10K,
"RCA1, RCA10, RCA2, RCA3, RCA4, RCA5, RCA6, RCA7, RCA8, RCA9",RCA Connector ALI,10,RCA_Connector_ALI,
SW1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 1,
SW2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 2,
U1,SOIC127P1030X265-18N,1,MCP23008-E_SO,
